feature,mean,std
mean radius,14.067213186813202,3.4955321235941827
mean texture,19.247362637362627,4.400447138909897
mean perimeter,91.55740659340661,24.122678706966134
mean area,648.5410989010988,344.5652953047693
mean smoothness,0.0961674285714285,0.013442917175187976
mean compactness,0.10386890109890125,0.05346281483630457
mean concavity,0.08919332241758247,0.08165706364246943
mean concave points,0.048343951648351625,0.038881754843920285
mean symmetry,0.18061802197802207,0.02804354432850832
mean fractal dimension,0.06281978021978024,0.007151546790041871
radius error,0.39897186813186797,0.26753062209408573
texture error,1.2187292307692315,0.5708943896891346
perimeter error,2.8225501098901087,1.971304692835304
area error,39.243747252747276,41.71727780747192
smoothness error,0.007083657142857148,0.003131906542370206
compactness error,0.025537980219780192,0.018446428661576798
concavity error,0.03255248263736262,0.03233466420574473
concave points error,0.011672782417582414,0.006282802873055058
symmetry error,0.020778830769230764,0.008754250377654137
fractal dimension error,0.003797283736263736,0.0027770660863816504
worst radius,16.17722637362637,4.764774837959009
worst texture,25.647296703296668,6.2186249805106355
worst perimeter,106.62529670329678,33.158554533605965
worst area,869.026593406594,552.3189653547965
worst smoothness,0.13232892307692298,0.02252541611974591
worst compactness,0.2543285714285715,0.15970617516649402
worst concavity,0.27657819120879135,0.2156991416236691
worst concave points,0.1139043318681319,0.06671051627934603
worst symmetry,0.2908652747252748,0.0645533960996743
worst fractal dimension,0.08394461538461542,0.018387481808819096
