-106,79,146,123,-142,-91,40,-95,136,-270,-361,106,404,-309,-123,327
-243,-118,-336,119,-218,58,241,52,-519,50,-10,-325,-468,339,-86,193
111,32,96,-3,-269,-246,-198,-324,-128,-166,98,235,204,184,113,259
174,62,167,-98,-80,18,109,123,-433,44,169,-199,-41,-232,15,239
-413,-599,-438,-197,84,-75,86,-57,298,127,315,213,-69,-160,181,-273
-37,-100,32,443,232,89,-65,64,-1,-93,-212,-281,114,-190,-59,163
-293,-561,-313,-170,-17,-71,-185,-433,176,-128,-142,218,359,301,120,338
372,156,-30,-232,-159,-11,341,243,105,-180,-6,167,-592,-182,142,-272
11,-38,124,117,193,70,-52,-82,-36,-176,-16,195,192,123,-249,-340
-185,-53,-26,-64,-99,118,228,-157,193,-42,250,204,-437,-253,113,-325
