feature,mean,std
age,54.77215189873418,9.013280450715815
sex,0.6751054852320675,0.46833542364596153
cp,3.1856540084388185,0.9542956923697674
trestbps,132.27004219409284,17.878011067930768
chol,249.40928270042195,53.05006391061259
fbs,0.16877637130801687,0.3745542788383485
restecg,0.9831223628691983,0.9935073817122748
thalach,149.8438818565401,22.350225706927414
exang,0.3459915611814346,0.4756904463752327
oldpeak,1.0616033755274261,1.17710327190575
slope,1.5864978902953586,0.6144421958336403
ca,0.679324894514768,0.9177772910935037
thal,4.805907172995781,1.9390194245896273
